"filename", "language", "Properties", "JavaScript", "HTML", "XML", "PostCSS", "JavaScript JSX", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\componentes\charts\MetricsRadarChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 88, 0, 0, 2, 7, 97
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\equipos\Equipos.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 481, 0, 0, 23, 57, 561
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\equipos\componentes\EquipoFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 266, 0, 0, 10, 23, 299
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\equipos\componentes\EquipoSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 196, 0, 0, 0, 18, 214
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\equipos\componentes\EquipoTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 275, 0, 0, 8, 28, 311
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\equipos\modales\CambiarEstadoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 145, 0, 0, 9, 12, 166
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\equipos\modales\CrearEquipoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 157, 0, 0, 9, 15, 181
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\equipos\modales\EditarEquipoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 157, 0, 0, 9, 15, 181
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\Horarios.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 483, 0, 0, 25, 61, 569
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\HorariosTurno.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 388, 0, 0, 23, 42, 453
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\componentes\HorarioFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 151, 0, 0, 9, 15, 175
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\componentes\HorarioSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 220, 0, 0, 13, 19, 252
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\componentes\HorarioTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 390, 0, 0, 12, 40, 442
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\modales\CambiarEstadoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 232, 0, 0, 17, 25, 274
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\modales\CrearHorarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 454, 0, 0, 40, 57, 551
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\modales\EditarHorarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 473, 0, 0, 39, 57, 569
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\horarios\modales\EliminarHorarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 260, 0, 0, 15, 27, 302
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reportes\Reportes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 1836, 0, 0, 109, 251, 2196
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reportes\componentes\Reporte0cupacion.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 676, 0, 0, 51, 90, 817
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reportes\componentes\ReporteSaludUsuarios.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 804, 0, 0, 42, 89, 935
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reservas\Reservas.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 437, 0, 0, 41, 57, 535
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reservas\componentes\ReservaTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 452, 0, 0, 34, 36, 522
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reservas\modales\CancelarReservaModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 316, 0, 0, 25, 39, 380
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\reservas\modales\CrearReservaModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 565, 0, 0, 50, 72, 687
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\Rutinas.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 519, 0, 0, 25, 57, 601
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\componentes\RutinaFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 130, 0, 0, 7, 17, 154
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\componentes\RutinaSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 233, 0, 0, 18, 23, 274
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\componentes\RutinaTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 334, 0, 0, 8, 24, 366
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\modales\CambiarEstadoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 209, 0, 0, 12, 17, 238
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\modales\CrearRutinaModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 274, 0, 0, 10, 22, 306
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\rutinas\modales\EditarRutinaModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 315, 0, 0, 11, 26, 352
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\Usuario.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 621, 0, 0, 21, 88, 730
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\componentes\UsuarioActions.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 142, 0, 0, 12, 20, 174
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\componentes\UsuarioFilters.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 352, 0, 0, 14, 30, 396
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\componentes\UsuarioSearch.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 193, 0, 0, 13, 18, 224
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\componentes\UsuarioTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 274, 0, 0, 13, 34, 321
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\modales\CambiarEstadoModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 135, 0, 0, 5, 12, 152
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\modales\CrearUsuarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 278, 0, 0, 6, 20, 304
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\admin\usuarios\modales\EditarUsuarioModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 297, 0, 0, 7, 19, 323
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\auth\Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 182, 0, 0, 15, 24, 221
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\auth\Registro.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 416, 0, 0, 15, 41, 472
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\PerfilCliente.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 336, 0, 0, 20, 42, 398
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\componentes\BodyMetricsCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\componentes\CalculatedMetrics.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 0, 1, 4, 34
"c:\Users\USUARIO\Desktop\Proyecto_Grado\Forntend\src\paginas\cliente\componentes\PersonalInfoCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
